EnrollmentId,AdmissionApplicationId,ProgramId,StudentProfileId,EnrolledAtUtc
3c9d7582-0481-49b6-a30b-aa76e39ef405,8a39979e-3f20-4ec2-8f84-831c2897fb7b,9325b646-8287-4df6-996a-41ec66b17582,1441044f-3ee8-45b0-9ce2-ab94f09fc75a,2025-12-16 07:20:38
999babdc-a88f-4e0e-bc3a-3dadf0025a76,efac4e1d-b270-40ac-8c31-6031c16de1a4,767740b7-433c-4802-8601-83709bcc60bd,3aa85f4b-1b2c-4688-9425-be5e225c3846,2026-02-18 05:24:24
9b595b28-dc9f-4bc0-91c8-c3abc339ee6f,46afdc30-a714-4ad4-b18a-b58687fd76fd,845d4008-28a2-4100-a0e1-bbc32d68f893,806294c0-0043-44a7-9536-be8387b7117f,2026-02-03 19:37:09
2331a456-616b-497c-8b1a-bcb688e751aa,845f4b06-bc5a-439f-9046-f8dd374822f4,fa5b641f-d203-4a2b-bd47-f20084a5d921,459c8367-ab07-449b-b493-93213810f574,2026-04-18 02:15:41
54500399-3276-46f9-b39f-72cfaabe602c,7631c6ef-8425-47dc-88d4-69cadf675d9f,9325b646-8287-4df6-996a-41ec66b17582,832486b4-08d5-4761-9a41-9f7d061c5b56,2025-10-19 14:19:04
6c55dce1-971c-4b7c-ba7f-73b35628c30d,68f90fe3-7a02-4070-ab3d-1ee6fc1de772,5748c059-9d7b-46ca-b79a-031a7a874a84,d6d92e30-03b3-4e29-9991-fd2e908119b6,2025-12-05 22:15:47
000b2135-6509-4963-9307-e4466a5b80d7,6aca5e62-b477-45ad-8695-361b04f9c4ed,d29debd6-c789-49ce-be94-0110e09cde1a,751d87e3-d722-4a1e-9745-3c3d8ae5f53c,2026-07-09 06:30:41
7db59726-e93f-4f72-b3cc-fb79404159d6,0b614530-b21c-43cb-bd44-b01f06892c1e,4e540f28-f12a-41d4-9709-8755c96f144c,b0e19ecc-1a4e-471b-9d17-aedcf4597d39,2025-11-18 17:45:50
90ac7708-5ebf-4c22-bb25-a7bd2d40d7d6,c788f1dc-268b-4493-9ffe-82e09dbc819d,5281f626-a47a-4a26-a982-c6cefcf4681b,bb6bef7a-2bfb-4eda-accf-aeffc27f445a,2026-02-09 08:22:27
faf8c3fb-9ff0-44b1-8d02-5a2c2d3c031d,f059b74d-4ba4-4187-834d-155734e58d86,97b7dcce-ac39-433d-ae2f-5eb1c07df9d2,d6fa762a-8c53-4cc2-a4d2-d784255617dd,2026-07-20 16:35:39
a1bf249a-7a14-40e9-900d-e852b3efc008,558e4977-0fb8-4834-bf82-7f02d60d5656,9964521c-5c90-486b-9bcc-8401b50ed3bb,1d54c7b0-e168-43c3-a79d-903913e32d07,2026-07-16 22:41:40
1d11155a-2838-4743-860a-7fbceaa52d4a,74f8beda-9a60-4833-9b31-2ae1932d8202,6996f4f9-345a-4a2c-a2a7-b23e381eaf87,fdeaa366-ff24-4bb4-ab4f-e404bb4a2e3d,2026-07-29 09:28:10
3cb0a0a4-2d4d-4d06-91aa-4f57183bc338,3165ebc6-220d-4b75-b4f2-e430ddfc2fa2,5e03e5f9-508e-4636-b4ee-401e771656b9,a840e3de-7c2c-4e23-915c-c0333c282354,2026-01-31 21:41:34
3e7a231a-e9d8-4e9f-9478-68df97391203,a1d686fc-064f-49c9-adc3-42fd1dca32f1,b7f0bb49-fd3d-4d27-8893-a2674ec1c6d7,f6c6af8f-7929-46aa-881a-d3de73412fc0,2026-02-15 23:53:43
d36f7210-0618-44f7-b836-1a3a5cd9cb84,e10ebedd-a065-44f8-b9be-aacfd68e378f,b7f0bb49-fd3d-4d27-8893-a2674ec1c6d7,34688519-167a-4077-bde9-77abf9a256b1,2025-09-13 09:13:35
4aacef24-cff7-47ff-9fcf-407bf0e2b6fa,f21b380a-035d-4746-8af0-3f82f4a60cbb,0847ac69-27bd-4023-a695-0c0dd31bc8ea,33281f0d-1fdb-4fd5-adfc-556ee6cee639,2025-10-28 00:04:51
bb70a9e2-d0bc-4a10-ae3a-8a540945f290,f84822a9-35ce-4382-aa71-238375caa367,5e03e5f9-508e-4636-b4ee-401e771656b9,4d1d2796-7702-4923-a6fe-4970a498d9ab,2026-01-14 22:05:11
51f409a4-dc72-4f53-b24a-b9e681b4d543,bf05d6fe-7bae-4962-b8c2-15e99af0e706,5748c059-9d7b-46ca-b79a-031a7a874a84,4c1bfbdf-6140-4b32-b0cf-30ecf356efb2,2026-08-02 01:59:49
cc1f177a-5ced-4d68-8651-cfc8dfa85803,f503e4eb-bf56-49ef-b318-fb47d53a7d1c,5281f626-a47a-4a26-a982-c6cefcf4681b,6efa8088-db47-468b-a05f-9b96a980ee14,2025-11-12 13:03:57
6f285d9c-7db2-4a30-b479-c81466fb397f,ab357960-f2d9-4e27-b019-76c7e1d01421,0847ac69-27bd-4023-a695-0c0dd31bc8ea,41df564d-aded-425c-ac7f-cfa9d2441a81,2026-04-07 13:08:50
5ddcd55c-c3ef-4401-898b-fbd2c0378b40,a80a2aa0-f75d-4e36-9cf8-17d8ea900cae,6996f4f9-345a-4a2c-a2a7-b23e381eaf87,d6d344e6-6189-4860-8d3c-d8aa73b576db,2026-05-28 13:59:22
adf4019a-1ae3-4dd1-8d99-c0b393b0a0bd,d664a726-e22a-4c51-93fa-7f8fc343a3aa,cf7531b2-c2a6-45fc-ad0b-a7edbd390c97,d8cb5eb0-38b7-4a9d-9a88-72e5b48a4dea,2025-09-16 16:15:19
b123dccc-e3c1-4abe-b368-aa4b96b26619,aa2ba908-cf04-47aa-92c1-00c74ed346ab,c6810b98-73d2-40ed-a3ac-203a0779d182,8af68570-1048-40e3-8be3-ced96d44ddaf,2026-08-31 17:55:27
9419892c-8152-4aa7-9cd6-a53b5d34c313,b7b0301e-d6e0-46a6-a62b-caf720ef63bc,9705fb0a-cc3f-4f50-bbd5-1321017f8f90,245f76cc-1684-42c9-a09a-4c0aea8f482b,2025-09-10 06:00:33
ef8707be-1921-4104-908c-a010d95558a4,ac22a86b-55d1-492d-a6a6-8b31ee6b5b8b,6996f4f9-345a-4a2c-a2a7-b23e381eaf87,b2fe7389-dd30-4ccd-b06d-11b7b6f7b49c,2026-03-06 07:18:26
