ActivityId,LeadId,ActivityType,CreatedAtUtc,IsCompleted,CallDurationSeconds
7af1ca66-e46e-470e-961a-41c8acf82e1d,881b86b2-4ae2-4515-aca8-a99bef24ab4d,Call,2025-12-25 13:38:56,true,662
e655cff1-8ab4-4868-a613-88e40888a88e,dcb22483-c36c-4522-8090-86e9275f774f,Email,2026-08-01 13:09:04,false,
0e68be03-0478-4307-87cc-09b2a1741839,d527068c-eb0b-4f1c-9e07-616df2711d36,WhatsApp,2026-03-19 16:09:03,true,
a82a598c-1cc6-41d4-97ae-1f53f8f81033,81b5abd9-725b-4407-b780-056dbe96d234,Call,2026-04-11 11:03:42,false,845
df506436-4e36-40f4-a2ec-67f7c09a4851,8aec8574-f8b2-415a-9580-44f543424cb7,Call,2026-01-30 13:27:55,true,677
4815af86-90a9-4356-a02a-9efe7ddaae3c,6d4446fc-e9d2-431d-b6f5-044483fed339,Email,2026-04-16 03:01:33,true,
b01ce1a1-ae72-43fe-af3e-f13ac38fa12c,c4aa84aa-f49d-4f94-8f32-931173613b27,Email,2026-07-14 21:45:21,true,
64551979-2fd5-4a32-b159-1b0578861f88,72cc0690-b96e-43f0-ba40-61e824fe869b,WhatsApp,2025-11-11 22:30:05,false,
dfd0ad46-fae4-466c-a994-754256353e7f,029ee8cd-10d8-4f63-85d8-7f73ad3a6723,WhatsApp,2025-10-21 10:20:03,true,
68de3e09-f548-4aea-99b5-f0f8a5e08f5d,021083a4-ad5d-4c75-b9e3-8807b2181545,Demo Session,2026-01-17 06:55:45,true,
fd0d4801-6012-41b4-9b20-0cef30526d22,825eccba-5fa9-4fdd-905a-d50b9f4c2b4b,Meeting,2025-12-08 01:19:37,false,
81a50b44-d964-4173-9a77-3bcf2b77c3a1,7da48b38-70fa-436b-a112-01e84b8a3458,Email,2026-08-07 04:14:10,true,
5dd74f28-b121-4079-b8ed-88b7ddca54ae,008cb042-0466-41d9-94a3-b8d6b9ae1a47,WhatsApp,2026-05-21 03:57:30,true,
c7fe78a1-1122-4aed-9a71-affe62c9e5de,82e1a7ea-1da9-4b34-99c2-23c427145cb4,WhatsApp,2025-12-20 09:53:19,true,
d0832988-8ca9-4b1f-a7a0-15d7acb9b617,052021f9-74d5-446f-a3d5-7e540c24abc7,Demo Session,2026-06-12 00:38:35,true,
4be96a98-a7a1-44e2-8904-a950eaea15f9,b5e8861c-b0f6-42b0-a02f-5316a5d67d69,WhatsApp,2026-02-26 02:15:17,true,
dba12f3f-a723-4124-b9b4-cbbaa9777456,93969f8f-d64b-4bbb-a0cf-dd32212b11aa,Demo Session,2026-07-29 23:56:57,true,
9beef2c6-0056-4e43-8d32-afcaf98f1fe3,1b2fb303-9f14-4ea2-8550-3ff903ceed23,Call,2026-07-28 17:43:58,true,679
1a959e76-9ac3-46b3-90fa-0475a8b2ae39,51c3dc58-6437-4238-adca-940530a4a4ed,WhatsApp,2026-07-19 18:32:15,true,
6973f554-ea85-4f0e-a9e7-ae36e8c5f499,af788cb1-4835-4121-b5c5-bb88c8418919,SMS,2026-01-25 06:35:56,true,
c1d99f8f-1b44-402b-b7b2-d6a54404ce91,c04b1659-3e3b-4c5b-84f1-2be84608e4eb,WhatsApp,2026-03-18 20:01:53,true,
bd715cb6-900a-414b-8603-bbb5704a0e2f,a6a570cc-a5b5-45f6-ad80-0dfefad057a8,Demo Session,2025-10-20 08:28:50,true,
652a8afc-8d8f-429d-ba7e-571ba90a97c1,04b183f7-8f1f-4a7a-b6a4-93a09bd8b740,WhatsApp,2025-11-06 02:16:25,true,
57427d98-3b37-4a88-acea-e83421ddfb64,26299aab-9221-4ed0-9a24-6ee08e59b1a8,Demo Session,2026-02-01 20:11:02,true,
cd916e57-97fa-4bdb-b064-a4ca86b5d899,61286364-0df7-4c27-b4bd-4fc9cf29fd15,Demo Session,2026-01-24 10:48:13,false,
d20d1dd9-ee94-4bec-b88b-dd00cccd8c58,34a52cd6-1e16-4a02-84aa-0370f0d044a3,SMS,2026-07-26 23:06:02,true,
46a48867-43df-48fa-ab7c-7657c8a25d34,0ff3bf71-0a42-4f13-ae40-3fe2856988b1,Email,2025-12-08 17:36:32,true,
66b9f634-07cc-4cfa-933b-df861d655345,7cfa81fe-3b16-4025-8637-a5057afd7423,Call,2026-08-06 00:24:47,true,133
ef47ef02-757e-4820-b177-cd8d0ac1ab01,e89af70a-3fcf-4202-af68-92ec7a4edf61,Call,2026-04-26 05:59:03,true,174
83366de3-fdb4-447a-8aae-fd12e3e3c1db,e0369e3b-8a8c-4d90-90bb-f519b3f5f146,SMS,2026-04-09 06:00:40,false,
06705cc8-26a9-4a31-b2bc-16f6fb0393f2,bbd7ccf8-32c3-49dc-9fb3-2ff067241c7c,Email,2026-05-21 07:19:13,true,
3dd29955-981d-4d7a-9d7a-167b706c85ef,1151880e-bf6e-40fc-926e-ee3994652319,Meeting,2025-09-09 02:52:33,true,
b3b3b2cc-e451-472e-b772-1ad01e4f28f3,ad2d001f-a9a1-4db0-b65d-a1384c503746,SMS,2026-08-23 13:40:42,true,
0d52ea0b-0439-4813-99d8-a861ee1f75a8,6a663129-daf1-4c3c-8773-21dc3a0ab0f2,Call,2026-08-24 14:56:49,false,381
9b49a667-d885-418a-bcc4-c2a7e0ca3ffb,b75bef3e-02b0-474e-83b2-2aaf8183bc32,SMS,2025-09-11 12:09:12,true,
75e7ec22-dfe8-4628-9968-14d8a0afe57d,d73afbf6-c0bf-471b-a72e-b512e7cb4fed,Email,2026-03-28 23:50:47,true,
967ebafb-e210-4b16-b0b2-69a0a83d5d7d,48f6713b-bb37-45f1-bc8b-0974fe5cb347,Meeting,2026-03-23 06:46:13,true,
00798650-0e80-4564-b019-5d0a52b87086,e29907e7-4b61-4732-bcd6-2be6beecb509,Call,2026-04-16 11:11:36,true,218
f42719ce-a48d-4ff9-a370-49540db7b9d3,815c0720-012b-49a0-80b7-d3c04b562e53,WhatsApp,2026-06-07 11:01:54,false,
7ca0f2c0-1f07-4cc6-8d7c-8bdf694a5c9e,b3fa86d8-0b72-468a-a9a5-afa41c5ed27f,Email,2025-12-11 02:32:34,true,
837dbf0b-8a93-4927-bacb-b72dacfafd2e,51965a74-99e2-4d36-a568-e9f4b1be5384,Demo Session,2026-03-18 14:18:04,true,
cac4db2c-54eb-435a-971b-d7fa4d0f1ea9,aed25658-0d51-4009-9ae4-15a15a50fc37,Email,2026-08-06 03:22:53,true,
