FollowUpId,LeadId,FollowUpDateUtc,IsCompleted,Notes
8284c0d8-6260-4f8b-bace-eab79dce8f4a,881b86b2-4ae2-4515-aca8-a99bef24ab4d,2026-01-27 23:23:18,false,Price accept never technology meet Republican.
6a439795-2ef4-4e25-b5e4-aee4290d3d4e,dcb22483-c36c-4522-8090-86e9275f774f,2026-08-17 16:47:43,true,Change control serve while happen enter ask most.
ba4a1ee9-94d9-4b28-9bf9-0574eb562a7c,d527068c-eb0b-4f1c-9e07-616df2711d36,2026-03-31 05:26:45,true,If these themselves country eye especially mother.
801d5c43-5984-4299-94fb-3f392910f25e,81b5abd9-725b-4407-b780-056dbe96d234,2026-04-22 02:49:09,true,Idea behind pay material next bit great continue visit letter.
97f434c7-62c8-43bf-b118-6102f9dfc03e,8aec8574-f8b2-415a-9580-44f543424cb7,2026-02-03 00:26:13,false,Human lose him late serve.
3378fc58-ace1-4634-a154-d8a3d390af28,6d4446fc-e9d2-431d-b6f5-044483fed339,2026-05-11 04:09:08,false,Could lot brother build produce choice talk far sometimes.
66832255-5825-4d55-8701-0fb5a5eb5fb0,c4aa84aa-f49d-4f94-8f32-931173613b27,2026-08-15 05:25:28,false,Mrs bring others finally a attack according international step.
1841b16a-52a3-49fa-aa9f-b3f78488605a,72cc0690-b96e-43f0-ba40-61e824fe869b,2025-11-13 23:00:14,false,Force himself Mrs certainly smile investment defense capital art machine.
9248d050-3733-4828-ab2b-fc8765f9cf96,029ee8cd-10d8-4f63-85d8-7f73ad3a6723,2025-11-15 08:01:53,true,Also avoid hour allow off follow reality.
4b18662f-c49d-4041-8834-331f081921b7,021083a4-ad5d-4c75-b9e3-8807b2181545,2026-03-14 15:26:55,false,Political product section the building eight admit.
8592814e-0a3e-4f03-ac67-a0e7ecc8ff2d,825eccba-5fa9-4fdd-905a-d50b9f4c2b4b,2025-12-18 01:56:11,true,Why catch player real account listen quality consider.
b7377af7-69f2-4679-bb02-68806cba1cd6,7da48b38-70fa-436b-a112-01e84b8a3458,2026-08-19 22:07:44,true,Born hotel source seat theory.
2703fdcb-7aca-43c4-998c-aec67ef00ce0,008cb042-0466-41d9-94a3-b8d6b9ae1a47,2026-06-17 20:20:55,false,Hot worker glass for collection eat receive sit arm.
886d6e4c-7ceb-46c5-af74-995da5a25eb2,82e1a7ea-1da9-4b34-99c2-23c427145cb4,2025-11-21 11:59:21,true,Upon need boy morning fire others act American hear experience.
664f40ff-de4d-411e-8ece-2d70a182804a,052021f9-74d5-446f-a3d5-7e540c24abc7,2026-05-24 08:42:43,true,Audience career prevent religious water radio cup evidence.
00a764bb-6afa-4f15-8d53-2dc61fcacfb0,b5e8861c-b0f6-42b0-a02f-5316a5d67d69,2026-01-31 21:18:02,false,Walk can child field foot hour quality common heavy.
62a3343d-8c23-4e99-90b5-7ff517b803f2,93969f8f-d64b-4bbb-a0cf-dd32212b11aa,2026-08-09 03:03:21,true,Country card its include occur believe glass stuff.
859a84df-8f3e-4993-bc63-b6fdb3568a2c,1b2fb303-9f14-4ea2-8550-3ff903ceed23,2026-08-25 23:08:42,true,Face seat put over painting.
8d5ed01f-99ab-4edd-840a-39f13db8a74c,51c3dc58-6437-4238-adca-940530a4a4ed,2026-08-21 15:28:24,false,Under trade industry measure modern film reflect American pressure.
ec50c870-7f1b-4eb3-a969-d3adc24ff51c,af788cb1-4835-4121-b5c5-bb88c8418919,2026-02-09 23:29:19,true,Medical account traditional role economy.
09821fa9-f67e-4c87-a983-626cf5d81e06,c04b1659-3e3b-4c5b-84f1-2be84608e4eb,2026-04-01 15:29:46,true,Lead area power contain behind who.
e1a456e1-2d67-4cbd-8782-72ce9e205387,a6a570cc-a5b5-45f6-ad80-0dfefad057a8,2025-10-18 23:38:14,false,Magazine during it maybe social down.
3fbdbadb-275c-4038-ae23-4c1b155e33cf,04b183f7-8f1f-4a7a-b6a4-93a09bd8b740,2025-10-19 02:06:03,false,Training study care against expect purpose.
d09fa98c-8fc5-4297-92af-deedf636c576,26299aab-9221-4ed0-9a24-6ee08e59b1a8,2026-01-20 23:57:44,true,Best drop energy popular against start themselves.
ad1c0ab3-1b08-4eed-bf09-0b88d1780f3f,61286364-0df7-4c27-b4bd-4fc9cf29fd15,2026-02-02 12:58:11,false,Huge scientist bar summer most certain director.
84c98c8e-29c3-4aec-9b32-beea704f6d82,34a52cd6-1e16-4a02-84aa-0370f0d044a3,2026-08-12 05:11:41,true,Staff wait audience heart north green born teach forget age.
121c8a4f-bcc7-4c3f-9a5c-044042eea182,0ff3bf71-0a42-4f13-ae40-3fe2856988b1,2025-11-07 08:13:14,false,Land discussion rate tax key him every movement car.
3ca48017-92d2-4e77-9a7c-0e73087e8133,7cfa81fe-3b16-4025-8637-a5057afd7423,2026-08-30 09:50:47,true,Safe out food five whom.
cccc6e05-32d1-45a1-9924-7cde080b6f3a,e89af70a-3fcf-4202-af68-92ec7a4edf61,2026-04-19 15:50:16,false,Television town gas child drug activity environmental outside.
b15e6409-7e85-4ef3-9cfd-4e99358a6682,e0369e3b-8a8c-4d90-90bb-f519b3f5f146,2026-05-18 00:38:34,true,Clearly president like number few population population share.
